Name,BENJAMIN MEYER,,,,,,
Address,XXXXXXXXXXX,,,,,,
Account Number,XXXXXXXXXXX,,,,,,
Disclaimer,The information contained in this file is intended for the personal and confidential use of the recipient(s) named above.  Any unauthorized use is prohibited.,,,,,,
Title,Advanced Metering Data,,,,,,
Commodity,Electric,,,,,,
Meter Number,72621898,,,,,,
Start Date,03/30/2024,,,,,,
End Date,03/30/2025,,,,,,
,,,,,,,
Start Interval Date/Time,Meter Id,Usage,Units,Interval,Usage,Units,Interval
03/30/2024 12:30,72621898,-,-,-,0.55,kwh,15min
03/30/2024 12:45,72621898,-,-,-,0.46,kwh,15min
03/30/2024 13:00,72621898,1.99,kwh,60min,0.51,kwh,15min
03/30/2024 13:15,72621898,-,-,-,0.47,kwh,15min
03/30/2024 13:30,72621898,-,-,-,0.55,kwh,15min
03/30/2024 13:45,72621898,-,-,-,0.46,kwh,15min
03/30/2024 14:00,72621898,2.09,kwh,60min,0.5,kwh,15min
03/30/2024 14:15,72621898,-,-,-,0.52,kwh,15min
03/30/2024 14:30,72621898,-,-,-,0.51,kwh,15min
03/30/2024 14:45,72621898,-,-,-,0.56,kwh,15min
03/30/2024 15:00,72621898,2.24,kwh,60min,0.52,kwh,15min
03/30/2024 15:15,72621898,-,-,-,0.56,kwh,15min
03/30/2024 15:30,72621898,-,-,-,0.61,kwh,15min
03/30/2024 15:45,72621898,-,-,-,0.55,kwh,15min
03/30/2024 16:00,72621898,2.19,kwh,60min,0.61,kwh,15min
03/30/2024 16:15,72621898,-,-,-,0.53,kwh,15min
03/30/2024 16:30,72621898,-,-,-,0.5,kwh,15min
03/30/2024 16:45,72621898,-,-,-,0.55,kwh,15min
03/30/2024 17:00,72621898,2.16,kwh,60min,0.46,kwh,15min
03/30/2024 17:15,72621898,-,-,-,0.59,kwh,15min
03/30/2024 17:30,72621898,-,-,-,0.5,kwh,15min
03/30/2024 17:45,72621898,-,-,-,0.61,kwh,15min
03/30/2024 18:00,72621898,2.05,kwh,60min,0.47,kwh,15min
03/30/2024 18:15,72621898,-,-,-,0.58,kwh,15min
03/30/2024 18:30,72621898,-,-,-,0.52,kwh,15min
03/30/2024 18:45,72621898,-,-,-,0.48,kwh,15min
03/30/2024 19:00,72621898,2.11,kwh,60min,0.54,kwh,15min
03/30/2024 19:15,72621898,-,-,-,0.52,kwh,15min
03/30/2024 19:30,72621898,-,-,-,0.55,kwh,15min
03/30/2024 19:45,72621898,-,-,-,0.5,kwh,15min
03/30/2024 20:00,72621898,1.9,kwh,60min,0.52,kwh,15min
03/30/2024 20:15,72621898,-,-,-,0.46,kwh,15min
03/30/2024 20:30,72621898,-,-,-,0.48,kwh,15min
03/30/2024 20:45,72621898,-,-,-,0.44,kwh,15min
03/30/2024 21:00,72621898,2.5,kwh,60min,0.51,kwh,15min
03/30/2024 21:15,72621898,-,-,-,0.49,kwh,15min
03/30/2024 21:30,72621898,-,-,-,0.53,kwh,15min
03/30/2024 21:45,72621898,-,-,-,0.97,kwh,15min
03/30/2024 22:00,72621898,4.09,kwh,60min,0.98,kwh,15min
03/30/2024 22:15,72621898,-,-,-,1.05,kwh,15min
03/30/2024 22:30,72621898,-,-,-,1.01,kwh,15min
03/30/2024 22:45,72621898,-,-,-,1.05,kwh,15min
03/30/2024 23:00,72621898,3.4,kwh,60min,0.99,kwh,15min
03/30/2024 23:15,72621898,-,-,-,1.02,kwh,15min
03/30/2024 23:30,72621898,-,-,-,0.86,kwh,15min
03/30/2024 23:45,72621898,-,-,-,0.53,kwh,15min
03/31/2024 00:00,72621898,2.51,kwh,60min,0.69,kwh,15min
03/31/2024 00:15,72621898,-,-,-,0.79,kwh,15min
03/31/2024 00:30,72621898,-,-,-,0.52,kwh,15min
03/31/2024 00:45,72621898,-,-,-,0.51,kwh,15min
03/31/2024 01:00,72621898,1.84,kwh,60min,0.51,kwh,15min
03/31/2024 01:15,72621898,-,-,-,0.43,kwh,15min
03/31/2024 01:30,72621898,-,-,-,0.44,kwh,15min
03/31/2024 01:45,72621898,-,-,-,0.46,kwh,15min
03/31/2024 02:00,72621898,1.88,kwh,60min,0.47,kwh,15min
03/31/2024 02:15,72621898,-,-,-,0.52,kwh,15min
03/31/2024 02:30,72621898,-,-,-,0.46,kwh,15min
03/31/2024 02:45,72621898,-,-,-,0.43,kwh,15min
03/31/2024 03:00,72621898,1.78,kwh,60min,0.49,kwh,15min
03/31/2024 03:15,72621898,-,-,-,0.43,kwh,15min
03/31/2024 03:30,72621898,-,-,-,0.45,kwh,15min
03/31/2024 03:45,72621898,-,-,-,0.41,kwh,15min
03/31/2024 04:00,72621898,1.95,kwh,60min,0.5,kwh,15min
03/31/2024 04:15,72621898,-,-,-,0.5,kwh,15min
03/31/2024 04:30,72621898,-,-,-,0.45,kwh,15min
03/31/2024 04:45,72621898,-,-,-,0.5,kwh,15min
03/31/2024 05:00,72621898,1.87,kwh,60min,0.5,kwh,15min
03/31/2024 05:15,72621898,-,-,-,0.46,kwh,15min
03/31/2024 05:30,72621898,-,-,-,0.48,kwh,15min
03/31/2024 05:45,72621898,-,-,-,0.43,kwh,15min
03/31/2024 06:00,72621898,1.87,kwh,60min,0.48,kwh,15min
03/31/2024 06:15,72621898,-,-,-,0.44,kwh,15min
03/31/2024 06:30,72621898,-,-,-,0.48,kwh,15min
03/31/2024 06:45,72621898,-,-,-,0.47,kwh,15min
03/31/2024 07:00,72621898,1.93,kwh,60min,0.5,kwh,15min
03/31/2024 07:15,72621898,-,-,-,0.44,kwh,15min
03/31/2024 07:30,72621898,-,-,-,0.52,kwh,15min
03/31/2024 07:45,72621898,-,-,-,0.47,kwh,15min
03/31/2024 08:00,72621898,1.94,kwh,60min,0.47,kwh,15min
03/31/2024 08:15,72621898,-,-,-,0.49,kwh,15min
03/31/2024 08:30,72621898,-,-,-,0.49,kwh,15min
03/31/2024 08:45,72621898,-,-,-,0.49,kwh,15min
03/31/2024 09:00,72621898,2.31,kwh,60min,0.48,kwh,15min
03/31/2024 09:15,72621898,-,-,-,0.46,kwh,15min
03/31/2024 09:30,72621898,-,-,-,0.51,kwh,15min
03/31/2024 09:45,72621898,-,-,-,0.86,kwh,15min
03/31/2024 10:00,72621898,2.54,kwh,60min,0.63,kwh,15min
03/31/2024 10:15,72621898,-,-,-,0.5,kwh,15min
03/31/2024 10:30,72621898,-,-,-,0.46,kwh,15min
03/31/2024 10:45,72621898,-,-,-,0.95,kwh,15min
03/31/2024 11:00,72621898,2.42,kwh,60min,0.65,kwh,15min
03/31/2024 11:15,72621898,-,-,-,0.49,kwh,15min
03/31/2024 11:30,72621898,-,-,-,0.49,kwh,15min
03/31/2024 11:45,72621898,-,-,-,0.79,kwh,15min
03/31/2024 12:00,72621898,3.24,kwh,60min,0.83,kwh,15min
03/31/2024 12:15,72621898,-,-,-,0.61,kwh,15min
03/31/2024 12:30,72621898,-,-,-,0.97,kwh,15min
03/31/2024 12:45,72621898,-,-,-,0.83,kwh,15min
03/31/2024 13:00,72621898,2.51,kwh,60min,0.54,kwh,15min
03/31/2024 13:15,72621898,-,-,-,0.66,kwh,15min
03/31/2024 13:30,72621898,-,-,-,0.74,kwh,15min
03/31/2024 13:45,72621898,-,-,-,0.57,kwh,15min
03/31/2024 14:00,72621898,3.43,kwh,60min,0.73,kwh,15min
03/31/2024 14:15,72621898,-,-,-,0.94,kwh,15min
03/31/2024 14:30,72621898,-,-,-,0.73,kwh,15min
03/31/2024 14:45,72621898,-,-,-,1.03,kwh,15min
03/31/2024 15:00,72621898,4.58,kwh,60min,1.07,kwh,15min
03/31/2024 15:15,72621898,-,-,-,1.26,kwh,15min
03/31/2024 15:30,72621898,-,-,-,1.16,kwh,15min
03/31/2024 15:45,72621898,-,-,-,1.09,kwh,15min
03/31/2024 16:00,72621898,3.38,kwh,60min,0.9,kwh,15min
03/31/2024 16:15,72621898,-,-,-,0.57,kwh,15min
03/31/2024 16:30,72621898,-,-,-,0.85,kwh,15min
03/31/2024 16:45,72621898,-,-,-,1.06,kwh,15min
03/31/2024 17:00,72621898,3.63,kwh,60min,0.82,kwh,15min
03/31/2024 17:15,72621898,-,-,-,0.54,kwh,15min
03/31/2024 17:30,72621898,-,-,-,0.94,kwh,15min
03/31/2024 17:45,72621898,-,-,-,1.33,kwh,15min
03/31/2024 18:00,72621898,4.63,kwh,60min,1.41,kwh,15min
03/31/2024 18:15,72621898,-,-,-,1.4,kwh,15min
03/31/2024 18:30,72621898,-,-,-,0.86,kwh,15min
03/31/2024 18:45,72621898,-,-,-,0.96,kwh,15min
03/31/2024 19:00,72621898,4.42,kwh,60min,1.3,kwh,15min
03/31/2024 19:15,72621898,-,-,-,1.37,kwh,15min
03/31/2024 19:30,72621898,-,-,-,1.08,kwh,15min
03/31/2024 19:45,72621898,-,-,-,0.67,kwh,15min
03/31/2024 20:00,72621898,3.37,kwh,60min,0.85,kwh,15min
03/31/2024 20:15,72621898,-,-,-,1.11,kwh,15min
03/31/2024 20:30,72621898,-,-,-,0.75,kwh,15min
03/31/2024 20:45,72621898,-,-,-,0.66,kwh,15min
03/31/2024 21:00,72621898,2.62,kwh,60min,0.81,kwh,15min
03/31/2024 21:15,72621898,-,-,-,0.77,kwh,15min
03/31/2024 21:30,72621898,-,-,-,0.52,kwh,15min
03/31/2024 21:45,72621898,-,-,-,0.52,kwh,15min
03/31/2024 22:00,72621898,2.69,kwh,60min,0.58,kwh,15min
03/31/2024 22:15,72621898,-,-,-,0.93,kwh,15min
03/31/2024 22:30,72621898,-,-,-,0.64,kwh,15min
03/31/2024 22:45,72621898,-,-,-,0.54,kwh,15min
03/31/2024 23:00,72621898,2.03,kwh,60min,0.52,kwh,15min
03/31/2024 23:15,72621898,-,-,-,0.5,kwh,15min
03/31/2024 23:30,72621898,-,-,-,0.53,kwh,15min
03/31/2024 23:45,72621898,-,-,-,0.48,kwh,15min
04/01/2024 00:00,72621898,1.87,kwh,60min,0.43,kwh,15min
04/01/2024 00:15,72621898,-,-,-,0.52,kwh,15min
04/01/2024 00:30,72621898,-,-,-,0.49,kwh,15min
04/01/2024 00:45,72621898,-,-,-,0.43,kwh,15min
04/01/2024 01:00,72621898,1.95,kwh,60min,0.51,kwh,15min
04/01/2024 01:15,72621898,-,-,-,0.47,kwh,15min
04/01/2024 01:30,72621898,-,-,-,0.45,kwh,15min
04/01/2024 01:45,72621898,-,-,-,0.52,kwh,15min
04/01/2024 02:00,72621898,1.91,kwh,60min,0.49,kwh,15min
04/01/2024 02:15,72621898,-,-,-,0.48,kwh,15min
04/01/2024 02:30,72621898,-,-,-,0.49,kwh,15min
04/01/2024 02:45,72621898,-,-,-,0.45,kwh,15min
04/01/2024 03:00,72621898,1.94,kwh,60min,0.48,kwh,15min
04/01/2024 03:15,72621898,-,-,-,0.46,kwh,15min
04/01/2024 03:30,72621898,-,-,-,0.46,kwh,15min
04/01/2024 03:45,72621898,-,-,-,0.54,kwh,15min
04/01/2024 04:00,72621898,1.97,kwh,60min,0.46,kwh,15min
04/01/2024 04:15,72621898,-,-,-,0.53,kwh,15min
04/01/2024 04:30,72621898,-,-,-,0.45,kwh,15min
04/01/2024 04:45,72621898,-,-,-,0.53,kwh,15min
04/01/2024 05:00,72621898,1.92,kwh,60min,0.44,kwh,15min
04/01/2024 05:15,72621898,-,-,-,0.47,kwh,15min
04/01/2024 05:30,72621898,-,-,-,0.53,kwh,15min
04/01/2024 05:45,72621898,-,-,-,0.48,kwh,15min
04/01/2024 06:00,72621898,1.84,kwh,60min,0.44,kwh,15min
04/01/2024 06:15,72621898,-,-,-,0.51,kwh,15min
04/01/2024 06:30,72621898,-,-,-,0.43,kwh,15min
04/01/2024 06:45,72621898,-,-,-,0.46,kwh,15min
04/01/2024 07:00,72621898,1.93,kwh,60min,0.51,kwh,15min
04/01/2024 07:15,72621898,-,-,-,0.46,kwh,15min
04/01/2024 07:30,72621898,-,-,-,0.47,kwh,15min
04/01/2024 07:45,72621898,-,-,-,0.49,kwh,15min
04/01/2024 08:00,72621898,1.87,kwh,60min,0.47,kwh,15min
04/01/2024 08:15,72621898,-,-,-,0.42,kwh,15min
04/01/2024 08:30,72621898,-,-,-,0.53,kwh,15min
04/01/2024 08:45,72621898,-,-,-,0.45,kwh,15min
04/01/2024 09:00,72621898,1.95,kwh,60min,0.46,kwh,15min
04/01/2024 09:15,72621898,-,-,-,0.52,kwh,15min
04/01/2024 09:30,72621898,-,-,-,0.45,kwh,15min
04/01/2024 09:45,72621898,-,-,-,0.52,kwh,15min
04/01/2024 10:00,72621898,4.03,kwh,60min,0.78,kwh,15min
04/01/2024 10:15,72621898,-,-,-,1.28,kwh,15min
04/01/2024 10:30,72621898,-,-,-,1.15,kwh,15min
04/01/2024 10:45,72621898,-,-,-,0.82,kwh,15min
04/01/2024 11:00,72621898,4.27,kwh,60min,0.82,kwh,15min
04/01/2024 11:15,72621898,-,-,-,1.11,kwh,15min
04/01/2024 11:30,72621898,-,-,-,1.21,kwh,15min
04/01/2024 11:45,72621898,-,-,-,1.13,kwh,15min
04/01/2024 12:00,72621898,2.69,kwh,60min,0.65,kwh,15min
04/01/2024 12:15,72621898,-,-,-,0.79,kwh,15min
04/01/2024 12:30,72621898,-,-,-,0.69,kwh,15min
04/01/2024 12:45,72621898,-,-,-,0.56,kwh,15min
04/01/2024 13:00,72621898,3.2,kwh,60min,0.79,kwh,15min
04/01/2024 13:15,72621898,-,-,-,0.98,kwh,15min
04/01/2024 13:30,72621898,-,-,-,0.79,kwh,15min
04/01/2024 13:45,72621898,-,-,-,0.64,kwh,15min
04/01/2024 14:00,72621898,4.07,kwh,60min,1.14,kwh,15min
04/01/2024 14:15,72621898,-,-,-,0.81,kwh,15min
04/01/2024 14:30,72621898,-,-,-,1.1,kwh,15min
04/01/2024 14:45,72621898,-,-,-,1.02,kwh,15min
04/01/2024 15:00,72621898,3.69,kwh,60min,0.7,kwh,15min
04/01/2024 15:15,72621898,-,-,-,1.13,kwh,15min
04/01/2024 15:30,72621898,-,-,-,1,kwh,15min
04/01/2024 15:45,72621898,-,-,-,0.86,kwh,15min
04/01/2024 16:00,72621898,3.99,kwh,60min,1.1,kwh,15min
04/01/2024 16:15,72621898,-,-,-,1.04,kwh,15min
04/01/2024 16:30,72621898,-,-,-,0.85,kwh,15min
04/01/2024 16:45,72621898,-,-,-,1,kwh,15min
04/01/2024 17:00,72621898,4.17,kwh,60min,1.08,kwh,15min
04/01/2024 17:15,72621898,-,-,-,1.04,kwh,15min
04/01/2024 17:30,72621898,-,-,-,1.06,kwh,15min
04/01/2024 17:45,72621898,-,-,-,0.99,kwh,15min
04/01/2024 18:00,72621898,4.02,kwh,60min,1.07,kwh,15min
04/01/2024 18:15,72621898,-,-,-,1,kwh,15min
04/01/2024 18:30,72621898,-,-,-,0.99,kwh,15min
04/01/2024 18:45,72621898,-,-,-,0.96,kwh,15min
04/01/2024 19:00,72621898,2.78,kwh,60min,1.11,kwh,15min
04/01/2024 19:15,72621898,-,-,-,0.55,kwh,15min
04/01/2024 19:30,72621898,-,-,-,0.5,kwh,15min
04/01/2024 19:45,72621898,-,-,-,0.62,kwh,15min
04/01/2024 20:00,72621898,3.31,kwh,60min,0.9,kwh,15min
04/01/2024 20:15,72621898,-,-,-,0.59,kwh,15min
04/01/2024 20:30,72621898,-,-,-,0.56,kwh,15min
04/01/2024 20:45,72621898,-,-,-,1.26,kwh,15min
04/01/2024 21:00,72621898,2.74,kwh,60min,0.54,kwh,15min
04/01/2024 21:15,72621898,-,-,-,1.09,kwh,15min
04/01/2024 21:30,72621898,-,-,-,0.65,kwh,15min
04/01/2024 21:45,72621898,-,-,-,0.46,kwh,15min
04/01/2024 22:00,72621898,2.44,kwh,60min,0.48,kwh,15min
04/01/2024 22:15,72621898,-,-,-,0.92,kwh,15min
04/01/2024 22:30,72621898,-,-,-,0.49,kwh,15min
04/01/2024 22:45,72621898,-,-,-,0.55,kwh,15min
04/01/2024 23:00,72621898,2.31,kwh,60min,0.47,kwh,15min
04/01/2024 23:15,72621898,-,-,-,0.68,kwh,15min
04/01/2024 23:30,72621898,-,-,-,0.75,kwh,15min
04/01/2024 23:45,72621898,-,-,-,0.41,kwh,15min
04/02/2024 00:00,72621898,1.78,kwh,60min,0.47,kwh,15min
04/02/2024 00:15,72621898,-,-,-,0.46,kwh,15min
04/02/2024 00:30,72621898,-,-,-,0.38,kwh,15min
04/02/2024 00:45,72621898,-,-,-,0.47,kwh,15min
04/02/2024 01:00,72621898,1.77,kwh,60min,0.42,kwh,15min
04/02/2024 01:15,72621898,-,-,-,0.47,kwh,15min
04/02/2024 01:30,72621898,-,-,-,0.42,kwh,15min
04/02/2024 01:45,72621898,-,-,-,0.46,kwh,15min
04/02/2024 02:00,72621898,1.71,kwh,60min,0.46,kwh,15min
04/02/2024 02:15,72621898,-,-,-,0.45,kwh,15min
04/02/2024 02:30,72621898,-,-,-,0.4,kwh,15min
04/02/2024 02:45,72621898,-,-,-,0.4,kwh,15min
04/02/2024 03:00,72621898,1.79,kwh,60min,0.45,kwh,15min
04/02/2024 03:15,72621898,-,-,-,0.46,kwh,15min
04/02/2024 03:30,72621898,-,-,-,0.43,kwh,15min
04/02/2024 03:45,72621898,-,-,-,0.45,kwh,15min
04/02/2024 04:00,72621898,1.78,kwh,60min,0.49,kwh,15min
04/02/2024 04:15,72621898,-,-,-,0.41,kwh,15min
04/02/2024 04:30,72621898,-,-,-,0.49,kwh,15min
04/02/2024 04:45,72621898,-,-,-,0.39,kwh,15min
04/02/2024 05:00,72621898,1.82,kwh,60min,0.49,kwh,15min
04/02/2024 05:15,72621898,-,-,-,0.45,kwh,15min
04/02/2024 05:30,72621898,-,-,-,0.46,kwh,15min
04/02/2024 05:45,72621898,-,-,-,0.42,kwh,15min
04/02/2024 06:00,72621898,1.72,kwh,60min,0.45,kwh,15min
04/02/2024 06:15,72621898,-,-,-,0.42,kwh,15min
04/02/2024 06:30,72621898,-,-,-,0.46,kwh,15min
04/02/2024 06:45,72621898,-,-,-,0.39,kwh,15min
04/02/2024 07:00,72621898,1.8,kwh,60min,0.5,kwh,15min
04/02/2024 07:15,72621898,-,-,-,0.43,kwh,15min
04/02/2024 07:30,72621898,-,-,-,0.47,kwh,15min
04/02/2024 07:45,72621898,-,-,-,0.4,kwh,15min
04/02/2024 08:00,72621898,1.84,kwh,60min,0.45,kwh,15min
04/02/2024 08:15,72621898,-,-,-,0.46,kwh,15min
04/02/2024 08:30,72621898,-,-,-,0.41,kwh,15min
04/02/2024 08:45,72621898,-,-,-,0.52,kwh,15min
04/02/2024 09:00,72621898,1.79,kwh,60min,0.41,kwh,15min
04/02/2024 09:15,72621898,-,-,-,0.46,kwh,15min
04/02/2024 09:30,72621898,-,-,-,0.51,kwh,15min
04/02/2024 09:45,72621898,-,-,-,0.41,kwh,15min
04/02/2024 10:00,72621898,2.91,kwh,60min,0.87,kwh,15min
04/02/2024 10:15,72621898,-,-,-,0.53,kwh,15min
04/02/2024 10:30,72621898,-,-,-,0.68,kwh,15min
04/02/2024 10:45,72621898,-,-,-,0.83,kwh,15min
04/02/2024 11:00,72621898,3.03,kwh,60min,0.99,kwh,15min
04/02/2024 11:15,72621898,-,-,-,0.52,kwh,15min
04/02/2024 11:30,72621898,-,-,-,0.49,kwh,15min
04/02/2024 11:45,72621898,-,-,-,1.03,kwh,15min
04/02/2024 12:00,72621898,3.14,kwh,60min,0.5,kwh,15min
04/02/2024 12:15,72621898,-,-,-,0.5,kwh,15min
04/02/2024 12:30,72621898,-,-,-,1.13,kwh,15min
04/02/2024 12:45,72621898,-,-,-,1.01,kwh,15min
04/02/2024 13:00,72621898,2.59,kwh,60min,1.12,kwh,15min
04/02/2024 13:15,72621898,-,-,-,0.54,kwh,15min
04/02/2024 13:30,72621898,-,-,-,0.47,kwh,15min
04/02/2024 13:45,72621898,-,-,-,0.46,kwh,15min
04/02/2024 14:00,72621898,2.19,kwh,60min,0.5,kwh,15min
04/02/2024 14:15,72621898,-,-,-,0.65,kwh,15min
04/02/2024 14:30,72621898,-,-,-,0.53,kwh,15min
04/02/2024 14:45,72621898,-,-,-,0.51,kwh,15min
04/02/2024 15:00,72621898,2.3,kwh,60min,0.74,kwh,15min
04/02/2024 15:15,72621898,-,-,-,0.52,kwh,15min
04/02/2024 15:30,72621898,-,-,-,0.48,kwh,15min
04/02/2024 15:45,72621898,-,-,-,0.56,kwh,15min
04/02/2024 16:00,72621898,2.41,kwh,60min,0.56,kwh,15min
04/02/2024 16:15,72621898,-,-,-,0.52,kwh,15min
04/02/2024 16:30,72621898,-,-,-,0.55,kwh,15min
04/02/2024 16:45,72621898,-,-,-,0.78,kwh,15min
04/02/2024 17:00,72621898,4.69,kwh,60min,0.92,kwh,15min
04/02/2024 17:15,72621898,-,-,-,1.3,kwh,15min
04/02/2024 17:30,72621898,-,-,-,1.3,kwh,15min
04/02/2024 17:45,72621898,-,-,-,1.17,kwh,15min
04/02/2024 18:00,72621898,4.75,kwh,60min,1.27,kwh,15min
04/02/2024 18:15,72621898,-,-,-,1.33,kwh,15min
04/02/2024 18:30,72621898,-,-,-,1.25,kwh,15min
04/02/2024 18:45,72621898,-,-,-,0.9,kwh,15min
04/02/2024 19:00,72621898,3.79,kwh,60min,0.62,kwh,15min
04/02/2024 19:15,72621898,-,-,-,0.77,kwh,15min
04/02/2024 19:30,72621898,-,-,-,1.09,kwh,15min
04/02/2024 19:45,72621898,-,-,-,1.31,kwh,15min
04/02/2024 20:00,72621898,4.92,kwh,60min,1.38,kwh,15min
04/02/2024 20:15,72621898,-,-,-,1.4,kwh,15min
04/02/2024 20:30,72621898,-,-,-,1.16,kwh,15min
04/02/2024 20:45,72621898,-,-,-,0.98,kwh,15min
04/02/2024 21:00,72621898,2.28,kwh,60min,0.63,kwh,15min
04/02/2024 21:15,72621898,-,-,-,0.55,kwh,15min
04/02/2024 21:30,72621898,-,-,-,0.61,kwh,15min
04/02/2024 21:45,72621898,-,-,-,0.49,kwh,15min
04/02/2024 22:00,72621898,2.29,kwh,60min,0.58,kwh,15min
04/02/2024 22:15,72621898,-,-,-,0.53,kwh,15min
04/02/2024 22:30,72621898,-,-,-,0.58,kwh,15min
04/02/2024 22:45,72621898,-,-,-,0.6,kwh,15min
04/02/2024 23:00,72621898,2.08,kwh,60min,0.53,kwh,15min
04/02/2024 23:15,72621898,-,-,-,0.56,kwh,15min
04/02/2024 23:30,72621898,-,-,-,0.46,kwh,15min
04/02/2024 23:45,72621898,-,-,-,0.53,kwh,15min
04/03/2024 00:00,72621898,1.92,kwh,60min,0.48,kwh,15min
04/03/2024 00:15,72621898,-,-,-,0.48,kwh,15min
04/03/2024 00:30,72621898,-,-,-,0.51,kwh,15min
04/03/2024 00:45,72621898,-,-,-,0.45,kwh,15min
04/03/2024 01:00,72621898,2,kwh,60min,0.51,kwh,15min
04/03/2024 01:15,72621898,-,-,-,0.5,kwh,15min
04/03/2024 01:30,72621898,-,-,-,0.44,kwh,15min
04/03/2024 01:45,72621898,-,-,-,0.55,kwh,15min
04/03/2024 02:00,72621898,1.93,kwh,60min,0.45,kwh,15min
04/03/2024 02:15,72621898,-,-,-,0.53,kwh,15min
04/03/2024 02:30,72621898,-,-,-,0.49,kwh,15min
04/03/2024 02:45,72621898,-,-,-,0.46,kwh,15min
04/03/2024 03:00,72621898,2.07,kwh,60min,0.52,kwh,15min
04/03/2024 03:15,72621898,-,-,-,0.51,kwh,15min
04/03/2024 03:30,72621898,-,-,-,0.51,kwh,15min
04/03/2024 03:45,72621898,-,-,-,0.53,kwh,15min
04/03/2024 04:00,72621898,2.16,kwh,60min,0.57,kwh,15min
04/03/2024 04:15,72621898,-,-,-,0.55,kwh,15min
04/03/2024 04:30,72621898,-,-,-,0.48,kwh,15min
04/03/2024 04:45,72621898,-,-,-,0.56,kwh,15min
04/03/2024 05:00,72621898,2.06,kwh,60min,0.54,kwh,15min
