time,Import T1 kWh,Import T2 kWh,Export T1 kWh,Export T2 kWh
2022-09-01 12:30,8364.385,4659.604,3099.802,7461.394
2022-09-01 12:45,8364.518,4659.659,3099.805,7461.793
2022-09-01 13:00,8364.764,4659.791,3099.87,7461.989
2022-09-01 13:15,8365.204,4659.865,3100.005,7462.36
2022-09-01 13:30,8365.467,4660.062,3100.023,7462.403
2022-09-01 13:45,8365.578,4660.321,3100.158,7462.52
2022-09-01 14:00,8365.777,4660.373,3100.247,7462.554
2022-09-01 14:15,8365.904,4660.642,3100.413,7462.74
2022-09-01 14:30,8366.401,4660.725,3100.544,7462.852
2022-09-01 14:45,8366.889,4660.829,3100.609,7463.25
2022-09-01 15:00,8367.309,4661.062,3100.679,7463.38
2022-09-01 15:15,8367.65,4661.176,3100.719,7463.422
2022-09-01 15:30,8368.056,4661.474,3100.901,7463.713
2022-09-01 15:45,8368.224,4661.533,3101.052,7463.943
2022-09-01 16:00,8368.441,4661.71,3101.214,7464.15
2022-09-01 16:15,8368.751,4661.782,3101.3,7464.538
2022-09-01 16:30,8368.993,4662.071,3101.371,7464.635
2022-09-01 16:45,8369.112,4662.306,3101.407,7464.96
2022-09-01 17:00,8369.605,4662.368,3101.452,7464.969
2022-09-01 17:15,8369.881,4662.621,3101.544,7465.236
2022-09-01 17:30,8370.183,4662.736,3101.706,7465.259
2022-09-01 17:45,8370.412,4662.913,3101.72,7465.467
2022-09-01 18:00,8370.616,4663.186,3101.764,7465.746
2022-09-01 18:15,8370.871,4663.295,3101.823,7465.79
2022-09-01 18:30,8371.304,4663.578,3101.954,7466.022
2022-09-01 18:45,8371.699,4663.629,3101.963,7466.15
2022-09-01 19:00,8371.95,4663.88,3102.155,7466.383
2022-09-01 19:15,8372.055,4663.946,3102.221,7466.391
2022-09-01 19:30,8372.474,4664.109,3102.308,7466.572
2022-09-01 19:45,8372.682,4664.264,3102.483,7466.654
2022-09-01 20:00,8373.015,4664.318,3102.616,7466.753
2022-09-01 20:15,8373.126,4664.488,3102.689,7467.115
2022-09-01 20:30,8373.49,4664.75,3102.724,7467.126
2022-09-01 20:45,8373.745,4664.951,3102.881,7467.267
2022-09-01 21:00,8374.044,4665.076,3102.995,7467.664
2022-09-01 21:15,8374.31,4665.37,3103.036,7468.002
2022-09-01 21:30,8374.551,4665.664,3103.107,7468.229
2022-09-01 21:45,8374.871,4665.785,3103.208,7468.43
2022-09-01 22:00,8375.36,4666.08,3103.211,7468.74
2022-09-01 22:15,8375.505,4666.229,3103.307,7469.055
2022-09-01 22:30,8375.731,4666.368,3103.364,7469.059
2022-09-01 22:45,8375.847,4666.547,3103.467,7469.443
2022-09-01 23:00,8376.243,4666.77,3103.625,7469.791
2022-09-01 23:15,8376.606,4667.064,3103.697,7470.016
2022-09-01 23:30,8376.791,4667.184,3103.872,7470.377
2022-09-01 23:45,8377.058,4667.258,3103.905,7470.643
2022-09-02 00:00,8377.416,4667.381,3104.001,7470.993
2022-09-02 00:15,8377.78,4667.637,3104.091,7471.393
2022-09-02 00:30,8377.948,4667.893,3104.218,7471.436
2022-09-02 00:45,8378.401,4668.142,3104.238,7471.446
2022-09-02 01:00,8378.812,4668.287,3104.275,7471.601
2022-09-02 01:15,8378.966,4668.441,3104.294,7471.934
2022-09-02 01:30,8379.413,4668.518,3104.375,7472.145
2022-09-02 01:45,8379.813,4668.773,3104.406,7472.247
2022-09-02 02:00,8380.232,4668.9,3104.468,7472.622
2022-09-02 02:15,8380.55,4669.137,3104.639,7472.887
2022-09-02 02:30,8380.738,4669.317,3104.699,7473.26
2022-09-02 02:45,8381.205,4669.589,3104.728,7473.343
2022-09-02 03:00,8381.542,4669.724,3104.752,7473.353
2022-09-02 03:15,8381.781,4669.913,3104.854,7473.475
2022-09-02 03:30,8381.986,4670.083,3104.945,7473.761
2022-09-02 03:45,8382.452,4670.261,3105.05,7474.066
2022-09-02 04:00,8382.72,4670.45,3105.194,7474.216
2022-09-02 04:15,8383.036,4670.551,3105.288,7474.33
2022-09-02 04:30,8383.379,4670.769,3105.414,7474.553
2022-09-02 04:45,8383.81,4671.015,3105.611,7474.779
2022-09-02 05:00,8384.159,4671.13,3105.617,7474.877
2022-09-02 05:15,8384.33,4671.352,3105.677,7474.919
2022-09-02 05:30,8384.666,4671.601,3105.68,7474.945
2022-09-02 05:45,8384.962,4671.796,3105.847,7475.118
2022-09-02 06:00,8385.281,4671.945,3105.994,7475.378
2022-09-02 06:15,8385.661,4672.083,3106.174,7475.553
2022-09-02 06:30,8385.859,4672.348,3106.371,7475.923
2022-09-02 06:45,8386.034,4672.407,3106.383,7476.05
2022-09-02 07:00,8386.178,4672.657,3106.41,7476.327
2022-09-02 07:15,8386.388,4672.843,3106.443,7476.583
2022-09-02 07:30,8386.492,4672.95,3106.49,7476.767
2022-09-02 07:45,8386.844,4673.171,3106.579,7477.024
2022-09-02 08:00,8387.062,4673.285,3106.654,7477.297
2022-09-02 08:15,8387.237,4673.366,3106.706,7477.434
2022-09-02 08:30,8387.375,4673.561,3106.789,7477.574
2022-09-02 08:45,8387.588,4673.721,3106.804,7477.743
2022-09-02 09:00,8387.774,4673.813,3106.842,7477.951
2022-09-02 09:15,8387.989,4673.921,3106.907,7478.149
2022-09-02 09:30,8388.277,4674.102,3106.91,7478.441
2022-09-02 09:45,8388.597,4674.219,3107.103,7478.505
2022-09-02 10:00,8389.035,4674.479,3107.104,7478.718
2022-09-02 10:15,8389.53,4674.648,3107.14,7478.767
2022-09-02 10:30,8389.65,4674.809,3107.252,7478.851
2022-09-02 10:45,8389.843,4675.086,3107.434,7478.97
2022-09-02 11:00,8390.2,4675.304,3107.465,7479.02
2022-09-02 11:15,8390.365,4675.492,3107.509,7479.295
2022-09-02 11:30,8390.813,4675.618,3107.705,7479.3
2022-09-02 11:45,8391.0,4675.7,3107.866,7479.415
2022-09-02 12:00,8391.396,4675.752,3107.982,7479.647
2022-09-02 12:15,8391.758,4675.869,3108.125,7480.036
2022-09-02 12:30,8392.177,4675.982,3108.239,7480.349
2022-09-02 12:45,8392.29,4676.235,3108.293,7480.578
2022-09-02 13:00,8392.481,4676.33,3108.397,7480.888
2022-09-02 13:15,8392.863,4676.54,3108.554,7481.058
2022-09-02 13:30,8392.998,4676.776,3108.709,7481.164
2022-09-02 13:45,8393.111,4677.022,3108.873,7481.493
2022-09-02 14:00,8393.353,4677.127,3109.046,7481.602
2022-09-02 14:15,8393.689,4677.27,3109.122,7481.604
2022-09-02 14:30,8393.81,4677.462,3109.137,7481.813
2022-09-02 14:45,8393.936,4677.757,3109.291,7482.178
2022-09-02 15:00,8394.054,4677.968,3109.344,7482.258
2022-09-02 15:15,8394.312,4678.095,3109.487,7482.49
2022-09-02 15:30,8394.679,4678.394,3109.588,7482.53
2022-09-02 15:45,8394.859,4678.459,3109.711,7482.669
2022-09-02 16:00,8395.309,4678.69,3109.829,7482.848
2022-09-02 16:15,8395.582,4678.838,3109.928,7483.165
2022-09-02 16:30,8395.93,4679.027,3109.955,7483.507
2022-09-02 16:45,8396.146,4679.279,3110.153,7483.867
2022-09-02 17:00,8396.492,4679.54,3110.193,7484.061
2022-09-02 17:15,8396.974,4679.595,3110.203,7484.177
2022-09-02 17:30,8397.253,4679.711,3110.274,7484.538
2022-09-02 17:45,8397.436,4679.916,3110.443,7484.771
2022-09-02 18:00,8397.706,4680.206,3110.449,7484.855
2022-09-02 18:15,8397.984,4680.385,3110.511,7485.105
2022-09-02 18:30,8398.287,4680.523,3110.56,7485.344
2022-09-02 18:45,8398.597,4680.666,3110.561,7485.516
2022-09-02 19:00,8398.714,4680.856,3110.725,7485.88
2022-09-02 19:15,8398.88,4681.093,3110.856,7486.267
2022-09-02 19:30,8399.16,4681.302,3110.859,7486.613
2022-09-02 19:45,8399.543,4681.525,3110.972,7486.804
2022-09-02 20:00,8399.954,4681.695,3111.03,7486.966
2022-09-02 20:15,8400.365,4681.858,3111.193,7487.291
2022-09-02 20:30,8400.666,4682.076,3111.215,7487.3
2022-09-02 20:45,8401.149,4682.134,3111.259,7487.436
2022-09-02 21:00,8401.381,4682.242,3111.404,7487.454
2022-09-02 21:15,8401.674,4682.535,3111.587,7487.821
2022-09-02 21:30,8402.073,4682.601,3111.787,7487.855
2022-09-02 21:45,8402.516,4682.798,3111.976,7488.23
2022-09-02 22:00,8402.782,4682.877,3112.038,7488.408
2022-09-02 22:15,8403.222,4683.044,3112.131,7488.611
2022-09-02 22:30,8403.5,4683.18,3112.158,7489.001
2022-09-02 22:45,8403.886,4683.407,3112.284,7489.203
2022-09-02 23:00,8403.989,4683.661,3112.382,7489.393
2022-09-02 23:15,8404.099,4683.784,3112.49,7489.647
2022-09-02 23:30,8404.575,4683.994,3112.674,7490.0
2022-09-02 23:45,8404.716,4684.059,3112.845,7490.07
2022-09-03 00:00,8405.081,4684.23,3112.874,7490.086
2022-09-03 00:15,8405.294,4684.304,3112.973,7490.454
2022-09-03 00:30,8405.475,4684.414,3113.071,7490.826
2022-09-03 00:45,8405.73,4684.606,3113.14,7491.083
2022-09-03 01:00,8406.2,4684.756,3113.326,7491.238
2022-09-03 01:15,8406.529,4684.895,3113.345,7491.37
2022-09-03 01:30,8406.995,4685.124,3113.481,7491.496
2022-09-03 01:45,8407.376,4685.381,3113.528,7491.833
2022-09-03 02:00,8407.677,4685.608,3113.605,7492.149
2022-09-03 02:15,8407.979,4685.813,3113.748,7492.167
2022-09-03 02:30,8408.167,4685.88,3113.887,7492.53
2022-09-03 02:45,8408.268,4685.966,3113.953,7492.797
2022-09-03 03:00,8408.536,4686.049,3114.093,7493.175
2022-09-03 03:15,8408.861,4686.173,3114.202,7493.465
2022-09-03 03:30,8409.312,4686.459,3114.346,7493.577
2022-09-03 03:45,8409.683,4686.58,3114.459,7493.602
2022-09-03 04:00,8410.12,4686.766,3114.47,7493.893
2022-09-03 04:15,8410.59,4687.033,3114.636,7493.961
2022-09-03 04:30,8411.066,4687.131,3114.76,7494.307
2022-09-03 04:45,8411.493,4687.38,3114.816,7494.434
2022-09-03 05:00,8411.645,4687.49,3114.869,7494.779
2022-09-03 05:15,8411.884,4687.78,3114.916,7495.079
2022-09-03 05:30,8412.067,4688.075,3115.023,7495.234
2022-09-03 05:45,8412.514,4688.321,3115.206,7495.6
2022-09-03 06:00,8412.931,4688.554,3115.356,7495.857
2022-09-03 06:15,8413.171,4688.615,3115.509,7496.081
2022-09-03 06:30,8413.499,4688.811,3115.592,7496.123
2022-09-03 06:45,8413.921,4688.969,3115.728,7496.469
2022-09-03 07:00,8414.354,4689.034,3115.924,7496.781
2022-09-03 07:15,8414.536,4689.258,3116.059,7496.914
2022-09-03 07:30,8414.929,4689.468,3116.062,7497.011
2022-09-03 07:45,8415.35,4689.645,3116.233,7497.358
2022-09-03 08:00,8415.467,4689.939,3116.309,7497.69
2022-09-03 08:15,8415.61,4690.154,3116.415,7497.71
2022-09-03 08:30,8415.884,4690.453,3116.554,7498.006
2022-09-03 08:45,8416.072,4690.557,3116.695,7498.254
2022-09-03 09:00,8416.525,4690.654,3116.71,7498.315
2022-09-03 09:15,8416.913,4690.747,3116.888,7498.523
2022-09-03 09:30,8417.298,4690.872,3116.95,7498.834
2022-09-03 09:45,8417.706,4690.954,3117.132,7498.937
2022-09-03 10:00,8417.938,4691.146,3117.257,7499.233
2022-09-03 10:15,8418.129,4691.295,3117.454,7499.358
2022-09-03 10:30,8418.48,4691.367,3117.558,7499.47
2022-09-03 10:45,8418.746,4691.545,3117.579,7499.65
2022-09-03 11:00,8419.22,4691.692,3117.708,7499.706
2022-09-03 11:15,8419.577,4691.951,3117.873,7500.078
2022-09-03 11:30,8419.832,4692.118,3118.058,7500.125
2022-09-03 11:45,8420.274,4692.364,3118.115,7500.255
2022-09-03 12:00,8420.527,4692.662,3118.292,7500.402
2022-09-03 12:15,8420.698,4692.926,3118.324,7500.436
2022-09-03 12:30,8421.111,4693.222,3118.403,7500.768
2022-09-03 12:45,8421.399,4693.381,3118.539,7501.123
2022-09-03 13:00,8421.603,4693.669,3118.589,7501.266
2022-09-03 13:15,8421.98,4693.965,3118.747,7501.338
2022-09-03 13:30,8422.472,4694.064,3118.937,7501.518
2022-09-03 13:45,8422.671,4694.311,3118.982,7501.885
2022-09-03 14:00,8423.087,4694.523,3119.025,7502.15
2022-09-03 14:15,8423.492,4694.592,3119.142,7502.489
2022-09-03 14:30,8423.64,4694.675,3119.265,7502.82
2022-09-03 14:45,8424.075,4694.733,3119.383,7502.96
2022-09-03 15:00,8424.36,4694.903,3119.42,7503.324
2022-09-03 15:15,8424.51,4695.074,3119.47,7503.703
2022-09-03 15:30,8424.825,4695.361,3119.595,7504.062
2022-09-03 15:45,8425.044,4695.482,3119.699,7504.242
2022-09-03 16:00,8425.214,4695.649,3119.865,7504.506
2022-09-03 16:15,8425.346,4695.913,3120.023,7504.826
2022-09-03 16:30,8425.525,4696.13,3120.051,7504.843
2022-09-03 16:45,8425.797,4696.341,3120.067,7505.132
2022-09-03 17:00,8426.154,4696.404,3120.137,7505.372
2022-09-03 17:15,8426.289,4696.602,3120.149,7505.475
2022-09-03 17:30,8426.675,4696.758,3120.203,7505.537
2022-09-03 17:45,8426.816,4696.836,3120.212,7505.616
2022-09-03 18:00,8426.986,4697.023,3120.279,7505.98
2022-09-03 18:15,8427.371,4697.124,3120.31,7506.035
2022-09-03 18:30,8427.825,4697.241,3120.418,7506.254
2022-09-03 18:45,8428.319,4697.494,3120.495,7506.386
2022-09-03 19:00,8428.68,4697.616,3120.664,7506.387
2022-09-03 19:15,8428.971,4697.852,3120.709,7506.495
2022-09-03 19:30,8429.106,4698.146,3120.782,7506.619
2022-09-03 19:45,8429.43,4698.354,3120.803,7506.67
2022-09-03 20:00,8429.602,4698.41,3120.846,7506.927
2022-09-03 20:15,8429.908,4698.512,3120.901,7507.131
2022-09-03 20:30,8430.251,4698.68,3120.971,7507.46
2022-09-03 20:45,8430.685,4698.808,3121.148,7507.858
2022-09-03 21:00,8430.914,4699.039,3121.321,7508.255
2022-09-03 21:15,8431.41,4699.258,3121.344,7508.579
2022-09-03 21:30,8431.908,4699.398,3121.359,7508.609
2022-09-03 21:45,8432.338,4699.637,3121.483,7508.756
2022-09-03 22:00,8432.716,4699.746,3121.594,7508.914
2022-09-03 22:15,8433.109,4699.927,3121.747,7509.102
2022-09-03 22:30,8433.559,4700.105,3121.929,7509.207
2022-09-03 22:45,8434.04,4700.39,3122.081,7509.221
2022-09-03 23:00,8434.481,4700.491,3122.17,7509.253
2022-09-03 23:15,8434.837,4700.544,3122.281,7509.316
2022-09-03 23:30,8434.967,4700.664,3122.345,7509.492
2022-09-03 23:45,8435.316,4700.876,3122.464,7509.623
2022-09-04 00:00,8435.557,4700.935,3122.58,7509.896
2022-09-04 00:15,8435.723,4701.178,3122.689,7510.202
2022-09-04 00:30,8436.18,4701.357,3122.884,7510.4
2022-09-04 00:45,8436.61,4701.611,3122.886,7510.429
2022-09-04 01:00,8436.921,4701.82,3122.895,7510.484
2022-09-04 01:15,8437.206,4701.935,3122.959,7510.631
2022-09-04 01:30,8437.502,4702.115,3122.982,7510.669
2022-09-04 01:45,8437.706,4702.327,3123.083,7510.716
2022-09-04 02:00,8437.968,4702.438,3123.231,7511.107
2022-09-04 02:15,8438.242,4702.624,3123.252,7511.216
2022-09-04 02:30,8438.348,4702.893,3123.341,7511.283
2022-09-04 02:45,8438.805,4703.048,3123.455,7511.288
2022-09-04 03:00,8438.917,4703.163,3123.607,7511.678
2022-09-04 03:15,8439.166,4703.444,3123.806,7511.774
2022-09-04 03:30,8439.305,4703.66,3123.971,7511.953
2022-09-04 03:45,8439.483,4703.82,3124.156,7512.297
2022-09-04 04:00,8439.96,4704.087,3124.197,7512.376
2022-09-04 04:15,8440.209,4704.177,3124.309,7512.668
2022-09-04 04:30,8440.6,4704.23,3124.445,7512.883
2022-09-04 04:45,8440.751,4704.464,3124.608,7513.063
2022-09-04 05:00,8440.951,4704.584,3124.722,7513.406
2022-09-04 05:15,8441.404,4704.74,3124.896,7513.507
2022-09-04 05:30,8441.865,4704.818,3125.082,7513.669
2022-09-04 05:45,8442.08,4705.064,3125.258,7514.066
2022-09-04 06:00,8442.567,4705.148,3125.315,7514.37
2022-09-04 06:15,8442.934,4705.276,3125.421,7514.428
2022-09-04 06:30,8443.236,4705.392,3125.441,7514.526
2022-09-04 06:45,8443.487,4705.521,3125.602,7514.755
2022-09-04 07:00,8443.722,4705.644,3125.678,7514.779
2022-09-04 07:15,8444.202,4705.872,3125.86,7515.128
2022-09-04 07:30,8444.58,4706.069,3125.919,7515.163
2022-09-04 07:45,8444.893,4706.146,3126.093,7515.199
2022-09-04 08:00,8445.011,4706.368,3126.165,7515.47
2022-09-04 08:15,8445.21,4706.64,3126.213,7515.733
2022-09-04 08:30,8445.687,4706.704,3126.308,7515.901
2022-09-04 08:45,8446.01,4706.811,3126.311,7516.081
2022-09-04 09:00,8446.253,4706.887,3126.498,7516.25
2022-09-04 09:15,8446.357,4707.016,3126.662,7516.593
2022-09-04 09:30,8446.558,4707.075,3126.673,7516.985
2022-09-04 09:45,8446.76,4707.266,3126.71,7517.286
2022-09-04 10:00,8446.928,4707.537,3126.824,7517.62
2022-09-04 10:15,8447.166,4707.687,3126.829,7517.724
2022-09-04 10:30,8447.347,4707.966,3126.903,7517.863
2022-09-04 10:45,8447.472,4708.131,3126.941,7517.887
2022-09-04 11:00,8447.611,4708.252,3126.952,7518.202
2022-09-04 11:15,8447.91,4708.33,3126.973,7518.546
2022-09-04 11:30,8448.038,4708.626,3126.982,7518.698
2022-09-04 11:45,8448.512,4708.805,3127.117,7518.746
2022-09-04 12:00,8448.695,4708.934,3127.238,7519.106
2022-09-04 12:15,8448.98,4709.055,3127.404,7519.395
2022-09-04 12:30,8449.246,4709.238,3127.412,7519.686
2022-09-04 12:45,8449.463,4709.466,3127.46,7519.754
2022-09-04 13:00,8449.692,4709.585,3127.659,7519.784
2022-09-04 13:15,8449.877,4709.741,3127.759,7520.095
2022-09-04 13:30,8450.089,4709.992,3127.783,7520.284
2022-09-04 13:45,8450.236,4710.122,3127.956,7520.441
2022-09-04 14:00,8450.611,4710.241,3128.043,7520.72
2022-09-04 14:15,8450.969,4710.303,3128.115,7521.091
2022-09-04 14:30,8451.194,4710.44,3128.187,7521.264
2022-09-04 14:45,8451.646,4710.658,3128.228,7521.345
2022-09-04 15:00,8451.9,4710.767,3128.305,7521.467
2022-09-04 15:15,8452.245,4711.059,3128.376,7521.645
2022-09-04 15:30,8452.554,4711.346,3128.54,7521.686
2022-09-04 15:45,8452.784,4711.526,3128.726,7521.718
2022-09-04 16:00,8453.256,4711.728,3128.899,7521.943
2022-09-04 16:15,8453.695,4712.008,3128.91,7522.228
2022-09-04 16:30,8454.132,4712.303,3129.097,7522.445
2022-09-04 16:45,8454.613,4712.482,3129.265,7522.798
2022-09-04 17:00,8454.714,4712.713,3129.272,7522.852
2022-09-04 17:15,8455.011,4712.791,3129.339,7522.993
2022-09-04 17:30,8455.486,4712.922,3129.485,7523.033
2022-09-04 17:45,8455.64,4713.193,3129.682,7523.39
2022-09-04 18:00,8455.838,4713.406,3129.881,7523.79
2022-09-04 18:15,8456.14,4713.632,3130.038,7524.047
2022-09-04 18:30,8456.512,4713.732,3130.088,7524.243
2022-09-04 18:45,8456.745,4713.827,3130.266,7524.272
2022-09-04 19:00,8456.967,4714.105,3130.406,7524.288
2022-09-04 19:15,8457.378,4714.339,3130.557,7524.364
2022-09-04 19:30,8457.491,4714.561,3130.755,7524.453
2022-09-04 19:45,8457.905,4714.843,3130.757,7524.581
2022-09-04 20:00,8458.176,4715.053,3130.771,7524.736
2022-09-04 20:15,8458.528,4715.226,3130.804,7525.03
2022-09-04 20:30,8458.91,4715.413,3130.86,7525.313
2022-09-04 20:45,8459.05,4715.633,3130.937,7525.508
2022-09-04 21:00,8459.511,4715.888,3130.996,7525.623
2022-09-04 21:15,8459.94,4716.128,3131.065,7525.862
2022-09-04 21:30,8460.19,4716.332,3131.24,7525.904
2022-09-04 21:45,8460.368,4716.588,3131.26,7525.904
2022-09-04 22:00,8460.493,4716.732,3131.279,7526.195
2022-09-04 22:15,8460.717,4716.928,3131.291,7526.364
2022-09-04 22:30,8461.102,4717.016,3131.304,7526.666
2022-09-04 22:45,8461.527,4717.092,3131.41,7526.73
2022-09-04 23:00,8461.758,4717.371,3131.583,7527.016
2022-09-04 23:15,8461.946,4717.653,3131.67,7527.389
2022-09-04 23:30,8462.177,4717.757,3131.761,7527.548
2022-09-04 23:45,8462.663,4717.861,3131.866,7527.759
2022-09-05 00:00,8462.801,4718.02,3131.935,7527.813
2022-09-05 00:15,8462.966,4718.133,3131.986,7527.83
2022-09-05 00:30,8463.344,4718.231,3132.075,7527.978
2022-09-05 00:45,8463.5,4718.355,3132.208,7528.008
2022-09-05 01:00,8463.706,4718.434,3132.364,7528.135
2022-09-05 01:15,8464.128,4718.518,3132.56,7528.344
2022-09-05 01:30,8464.348,4718.732,3132.667,7528.59
2022-09-05 01:45,8464.687,4718.828,3132.854,7528.74
2022-09-05 02:00,8465.016,4719.052,3132.956,7528.991
2022-09-05 02:15,8465.222,4719.144,3133.003,7529.362
2022-09-05 02:30,8465.421,4719.333,3133.162,7529.373
2022-09-05 02:45,8465.637,4719.405,3133.291,7529.408
2022-09-05 03:00,8466.088,4719.552,3133.291,7529.539
2022-09-05 03:15,8466.195,4719.706,3133.383,7529.57
2022-09-05 03:30,8466.332,4719.858,3133.387,7529.807
2022-09-05 03:45,8466.568,4720.151,3133.562,7529.977
2022-09-05 04:00,8466.756,4720.334,3133.662,7530.356
2022-09-05 04:15,8467.082,4720.54,3133.757,7530.528
2022-09-05 04:30,8467.397,4720.594,3133.878,7530.623
2022-09-05 04:45,8467.696,4720.705,3133.989,7530.993
2022-09-05 05:00,8467.916,4720.929,3134.133,7531.117
2022-09-05 05:15,8468.22,4720.981,3134.29,7531.269
2022-09-05 05:30,8468.635,4721.22,3134.377,7531.56
2022-09-05 05:45,8469.06,4721.491,3134.534,7531.743
2022-09-05 06:00,8469.373,4721.756,3134.627,7531.935
2022-09-05 06:15,8469.796,4721.872,3134.725,7532.12
2022-09-05 06:30,8469.909,4722.142,3134.741,7532.315
2022-09-05 06:45,8470.071,4722.258,3134.921,7532.431
2022-09-05 07:00,8470.47,4722.505,3135.059,7532.767
2022-09-05 07:15,8470.724,4722.649,3135.108,7532.784
2022-09-05 07:30,8470.951,4722.707,3135.118,7532.863
2022-09-05 07:45,8471.28,4722.787,3135.19,7532.891
2022-09-05 08:00,8471.529,4722.865,3135.272,7533.264
2022-09-05 08:15,8471.993,4723.116,3135.308,7533.645
2022-09-05 08:30,8472.248,4723.219,3135.413,7533.866
2022-09-05 08:45,8472.682,4723.48,3135.443,7534.242
2022-09-05 09:00,8473.023,4723.65,3135.583,7534.557
2022-09-05 09:15,8473.488,4723.767,3135.607,7534.92
2022-09-05 09:30,8473.781,4723.835,3135.706,7534.99
2022-09-05 09:45,8474.265,4724.106,3135.885,7535.0
2022-09-05 10:00,8474.595,4724.179,3136.044,7535.386
2022-09-05 10:15,8474.707,4724.27,3136.091,7535.723
2022-09-05 10:30,8475.102,4724.391,3136.167,7535.928
2022-09-05 10:45,8475.547,4724.636,3136.286,7536.067
2022-09-05 11:00,8475.686,4724.871,3136.48,7536.438
2022-09-05 11:15,8476.171,4725.108,3136.573,7536.45
2022-09-05 11:30,8476.497,4725.23,3136.699,7536.484
2022-09-05 11:45,8476.893,4725.423,3136.783,7536.724
2022-09-05 12:00,8477.083,4725.494,3136.924,7536.827
2022-09-05 12:15,8477.559,4725.591,3137.025,7536.875
2022-09-05 12:30,8477.916,4725.643,3137.104,7537.081
2022-09-05 12:45,8478.234,4725.928,3137.185,7537.413
2022-09-05 13:00,8478.718,4726.226,3137.244,7537.769
2022-09-05 13:15,8479.041,4726.369,3137.386,7537.833
2022-09-05 13:30,8479.354,4726.653,3137.478,7538.065
2022-09-05 13:45,8479.472,4726.759,3137.641,7538.271
2022-09-05 14:00,8479.79,4726.939,3137.784,7538.343
2022-09-05 14:15,8480.188,4727.124,3137.914,7538.458
2022-09-05 14:30,8480.435,4727.175,3137.946,7538.67
2022-09-05 14:45,8480.807,4727.261,3137.947,7538.96
2022-09-05 15:00,8481.133,4727.532,3138.066,7539.055
2022-09-05 15:15,8481.316,4727.799,3138.231,7539.117
2022-09-05 15:30,8481.635,4727.869,3138.258,7539.342
2022-09-05 15:45,8481.925,4728.063,3138.399,7539.651
2022-09-05 16:00,8482.16,4728.195,3138.423,7539.849
